id_x,img_x,img_y
1223,900,631
1224,960,631
1225,1020,631
1226,60,571
1227,120,571
1228,180,571
1229,240,571
1230,300,571
1231,360,571
1232,420,571
1233,480,571
1234,540,571
1235,600,571
1236,660,571
1237,720,571
1238,780,571
1239,840,571
1240,900,571
1241,960,571
1242,1020,571
1243,60,511
1244,120,511
1245,180,511
1246,240,511
1247,300,511
1248,360,511
1249,420,511
1250,480,511
1251,540,511
1252,600,511
1253,660,511
1254,720,511
1255,780,511
1256,840,511
1257,900,511
1258,960,511
1259,1020,511
1260,60,451
1261,120,451
1262,180,451
1263,240,451
1264,300,451
1265,360,451
1266,420,451
1267,480,451
1268,540,451
1269,600,451
1270,660,451
1271,720,451
1272,780,451
1273,840,451
1274,900,451
1275,960,451
1276,1020,451
1277,60,391
1278,120,391
1279,180,391
1280,240,391
1281,300,391
1282,360,391
1283,420,391
1284,480,391
1285,540,391
1286,600,391
1287,660,391
1288,720,391
1289,780,391
1290,840,391
1291,900,391
1292,960,391
1293,1020,391
1294,60,331
1295,120,331
1296,180,331
1297,240,331
1298,300,331
1299,360,331
1300,420,331
1301,480,331
1302,540,331
1303,600,331
1304,660,331
1305,720,331
1306,780,331
1307,840,331
1308,900,331
1309,960,331
1310,1020,331
1311,60,271
1312,120,271
1313,180,271
1314,240,271
1315,300,271
1316,360,271
1317,420,271
1318,480,271
1319,540,271
1320,600,271
1321,660,271
1322,720,271
1323,780,271
1324,840,271
1325,900,271
1326,960,271
1327,1020,271
1328,60,211
1329,120,211
1330,180,211
1331,240,211
1332,300,211
1333,360,211
1334,420,211
1335,480,211
1336,540,211
1337,600,211
1338,660,211
1339,720,211
1340,780,211
1341,840,211
1342,900,211
1343,960,211
1344,1020,211
1345,60,151
1346,120,151
1347,180,151
1348,240,151
1349,300,151
1350,360,151
1351,420,151
1352,480,151
1353,540,151
1354,600,151
1355,660,151
1356,720,151
1357,780,151
1358,840,151
1359,900,151
1360,960,151
1361,1020,151
1362,60,91
1363,120,91
1364,180,91
1365,240,91
1366,300,91
1367,360,91
1368,420,91
1369,480,91
1370,540,91
1371,600,91
1372,660,91
1373,720,91
1374,780,91
1375,840,91
1376,900,91
1377,960,91
1378,1020,91
1379,60,31
1380,120,31
1381,180,31
1382,240,31
1383,300,31
1384,360,31
1385,420,31
1386,480,31
1387,540,31
1388,600,31
1389,660,31
1390,720,31
1391,780,31
1392,840,31
1393,900,31
1394,960,31
1395,1020,31
1396,60,-29
1397,120,-29
1398,180,-29
1399,240,-29
1400,300,-29
1401,360,-29
1402,420,-29
1403,480,-29
1404,540,-29
1405,600,-29
1406,660,-29
1407,720,-29
1408,780,-29
1409,840,-29
1410,900,-29
1411,960,-29
1412,1020,-29
1413,60,-89
1414,120,-89
1415,180,-89
1416,240,-89
1417,300,-89
1418,360,-89
1419,420,-89
1420,480,-89
1421,540,-89
1422,600,-89
1423,660,-89
1424,720,-89
1425,780,-89
1426,840,-89
1427,900,-89
1428,960,-89
1429,1020,-89
1430,60,-149
1431,120,-149
1432,180,-149
1433,240,-149
1434,300,-149
1435,360,-149
1436,420,-149
1437,480,-149
1438,540,-149
1439,600,-149
1440,660,-149
1441,720,-149
1442,780,-149
1443,840,-149
1444,900,-149
1445,960,-149
1446,1020,-149
1447,1050,1141
1448,990,1141
1449,930,1141
1450,870,1141
1451,810,1141
1452,750,1141
1453,690,1141
1454,630,1141
1455,570,1141
1456,510,1141
1457,450,1141
1458,390,1141
1459,330,1141
1460,270,1141
1461,210,1141
1462,150,1141
1463,90,1141
1464,30,1141
1465,30,1021
1466,150,1021
1467,270,1021
1468,390,1021
1469,510,1021
1470,630,1021
1471,750,1021
1472,870,1021
1473,990,1021
1474,90,961
